,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
407,Delhi,10,North,4,2019,0,0,0,1,0,0,74.2,9454,98.7,15.3,86.9,138.5,77.5,299.5,25742,247,21,39918,222.13,26.13,215,43,39,51,3,3,139,383805,0
408,Delhi,10,North East,5,2017,0,1,0,0,0,0,82.4,7744,99.1,17.6,84.1,164.2,77.0,389.7,751,72,3,63476,38.74,9.3,2,38,28,16,16,1,83,328985,0
409,Delhi,10,North East,5,2018,0,0,1,0,0,0,81.5,8088,99.0,21.9,84.2,146.8,80.0,351.7,1123,121,5,73611,61.82,14.96,2,38,29,16,16,1,84,365529,0
410,Delhi,10,North East,5,2019,0,0,0,1,0,0,82.1,7304,99.2,26.9,91.5,155.2,87.2,391.4,24295,110,6,41915,82.15,15.06,215,38,29,16,16,1,84,383805,0
411,Delhi,10,North West,6,2017,0,1,0,0,0,0,97.3,42328,98.3,21.7,83.9,98.5,81.7,92.0,731,632,78,104224,184.28,14.93,2,79,63,100,8,13,263,328985,0
412,Delhi,10,North West,6,2018,0,0,1,0,0,0,96.8,43310,98.1,29.9,83.2,96.3,70.8,89.1,1871,437,81,82474,187.02,10.09,2,79,64,100,8,13,264,365529,0
413,Delhi,10,North West,6,2019,0,0,0,1,0,0,97.3,42628,98.0,26.6,87.6,97.4,80.0,91.7,32090,328,84,57141,197.05,7.69,215,79,64,100,8,13,264,383805,0
414,Delhi,10,Shahdara,7,2017,0,1,0,0,0,0,98.3,38869,97.5,11.7,98.6,106.2,96.6,63.4,652,41,80,177913,205.82,1.05,2,49,34,50,5,6,144,328985,0
415,Delhi,10,Shahdara,7,2018,0,0,1,0,0,0,98.6,40754,97.7,9.6,97.5,103.0,93.4,57.8,1449,147,156,130694,382.78,3.61,2,58,34,50,5,6,153,365529,0
416,Delhi,10,Shahdara,7,2019,0,0,0,1,0,0,98.5,38010,97.7,22.9,97.5,101.8,88.1,58.5,19446,602,116,64164,305.18,15.84,215,58,34,50,5,6,153,383805,0
417,Delhi,10,South,8,2017,0,1,0,0,0,0,91.0,11700,98.9,20.2,91.6,108.8,82.8,169.7,616,61,16,44604,136.75,5.21,2,41,36,57,7,6,147,328985,0
418,Delhi,10,South,8,2018,0,0,1,0,0,0,93.4,13292,99.0,20.2,94.5,105.5,78.9,138.4,557,77,17,46910,127.9,5.79,2,42,36,58,7,6,149,365529,0
419,Delhi,10,South,8,2019,0,0,0,1,0,0,93.5,12366,98.9,20.4,92.8,103.8,91.5,144.5,15097,77,23,35682,185.99,6.23,215,42,36,58,7,6,149,383805,0
420,Delhi,10,South East,9,2017,0,1,0,0,0,0,89.6,10494,99.2,14.0,75.3,143.5,70.2,305.3,347,97,0,61650,0.0,9.24,2,45,49,57,11,10,172,328985,0
421,Delhi,10,South East,9,2018,0,0,1,0,0,0,92.1,14142,99.3,13.1,75.2,109.4,61.5,229.9,743,31,6,70092,42.43,2.19,2,51,49,57,12,10,179,365529,0
422,Delhi,10,South East,9,2019,0,0,0,1,0,0,93.6,13818,99.3,14.9,75.7,106.3,62.6,232.7,26755,58,4,65019,28.95,4.2,215,51,49,57,12,10,179,383805,0
423,Delhi,10,South West,10,2017,0,1,0,0,0,0,94.2,13639,99.1,16.4,96.2,116.7,95.0,188.1,94,57,4,42077,29.33,4.18,2,70,43,53,23,7,196,328985,0
424,Delhi,10,South West,10,2018,0,0,1,0,0,0,95.9,17736,99.0,16.7,92.8,107.1,93.2,148.8,914,103,7,57181,39.47,5.81,2,74,45,43,18,7,187,365529,0
425,Delhi,10,South West,10,2019,0,0,0,1,0,0,96.6,16868,98.9,16.1,96.8,105.6,95.6,146.5,21091,125,4,48420,23.71,7.41,215,74,45,43,18,7,187,383805,0
426,Delhi,10,West,11,2017,0,1,0,0,0,0,96.0,30425,98.4,25.8,91.1,114.9,85.3,137.2,881,145,59,158239,193.92,4.77,2,95,73,115,15,12,310,328985,0
427,Delhi,10,West,11,2018,0,0,1,0,0,0,95.8,30971,98.7,26.4,93.5,110.1,88.6,137.4,2940,308,49,155852,158.21,9.94,2,95,73,109,15,12,304,365529,0
428,Delhi,10,West,11,2019,0,0,0,1,0,0,96.2,27891,98.5,33.2,93.8,108.5,92.0,142.8,33691,389,52,125162,186.44,13.95,215,95,73,109,15,12,304,383805,0
429,Goa,11,North Goa,1,2017,0,1,0,0,0,0,99.9,9588,98.6,20.9,94.2,104.5,80.0,104.2,149,91,15,13052,156.45,9.49,35,111,25,4,4,2,142,422155,0
430,Goa,11,North Goa,1,2018,1,0,1,0,1,0,99.8,9033,98.4,20.4,96.1,107.4,83.1,100.3,142,136,11,13758,121.78,15.06,57,113,22,8,8,2,145,458304,0
431,Goa,11,North Goa,1,2019,1,0,0,1,0,1,99.9,9151,98.6,20.3,95.5,102.7,83.2,102.7,118,97,6,13609,65.57,10.6,141,113,22,8,8,2,145,481219,0
432,Goa,11,South Goa,2,2017,0,1,0,0,0,0,99.9,9295,99.8,10.0,83.2,85.1,68.3,132.9,196,17,1,11451,10.76,1.83,35,105,20,4,2,1,132,422155,0
433,Goa,11,South Goa,2,2018,1,0,1,0,1,0,99.8,8929,99.8,11.3,93.9,97.2,84.4,125.7,120,17,1,13138,11.2,1.9,57,105,20,4,2,1,132,458304,0
434,Goa,11,South Goa,2,2019,1,0,0,1,0,1,99.9,8904,99.7,13.8,95.2,93.5,92.9,121.9,5,13,1,16384,11.23,1.46,141,105,20,4,2,1,132,481219,0
435,Gujarat,12,Ahmedabad,1,2017,0,1,0,0,0,0,99.7,145459,98.8,10.5,105.0,113.7,67.6,98.9,0,1177,78,159865,53.62,8.09,69,214,115,560,13,4,906,173079,0
436,Gujarat,12,Ahmedabad,1,2018,1,0,1,0,1,0,99.9,141787,99.3,12.4,98.1,106.0,60.7,102.3,55624,1349,112,157204,78.99,9.51,94,213,121,561,7,6,908,197446,0
437,Gujarat,12,Ahmedabad,1,2019,1,0,0,1,0,1,99.9,139583,99.4,12.6,102.3,114.2,76.1,100.5,115011,975,138,153380,98.87,6.99,158,213,121,560,7,6,907,207319,0
438,Gujarat,12,Amreli,2,2017,0,1,0,0,0,0,96.7,18889,99.3,9.1,151.2,155.5,116.6,139.6,0,347,12,31041,63.53,18.37,69,248,45,72,3,1,369,173079,0
439,Gujarat,12,Amreli,2,2018,1,0,1,0,1,0,98.1,20329,99.5,11.1,125.8,134.3,95.7,150.9,11393,297,9,31994,44.27,14.61,94,248,44,68,3,1,364,197446,0
440,Gujarat,12,Amreli,2,2019,1,0,0,1,0,1,98.3,19561,99.5,11.6,131.3,142.3,106.0,120.7,21109,235,8,33245,40.9,12.01,158,248,44,68,3,1,364,207319,0
441,Gujarat,12,Anand,3,2017,0,1,0,0,0,0,99.9,35779,98.6,19.4,86.3,104.2,42.8,96.0,0,993,53,40122,148.13,27.75,69,277,62,62,62,2,403,173079,0
442,Gujarat,12,Anand,3,2018,1,0,1,0,1,0,100.0,34046,98.7,13.6,82.9,100.0,63.7,94.5,15989,686,39,38921,114.55,20.15,94,277,66,68,68,2,413,197446,0
443,Gujarat,12,Anand,3,2019,1,0,0,1,0,1,99.9,32618,98.9,13.3,115.3,111.1,94.0,98.6,26833,582,34,37869,104.24,17.84,158,277,66,68,68,2,413,207319,0
444,Gujarat,12,Aravalli,4,2017,0,1,0,0,0,0,99.9,28709,98.8,10.7,89.2,76.6,67.8,73.2,145,498,20,27361,69.66,17.35,69,219,47,37,2,2,305,173079,0
445,Gujarat,12,Aravalli,4,2018,1,0,1,0,1,0,100.0,20085,98.6,9.7,96.4,104.2,88.7,113.6,10176,355,13,24851,64.72,17.67,94,219,47,37,2,2,305,197446,0
446,Gujarat,12,Aravalli,4,2019,1,0,0,1,0,1,100.0,19358,99.3,11.4,102.1,96.5,98.5,100.5,15187,253,12,22101,61.99,13.07,158,219,47,37,2,2,305,207319,0
447,Gujarat,12,Banas Kantha,5,2017,0,1,0,0,0,0,99.4,69866,98.5,9.8,56.8,102.1,48.9,98.9,0,1751,50,84648,71.57,25.06,69,766,125,147,3,1,1042,173079,0
448,Gujarat,12,Banas Kantha,5,2018,1,0,1,0,1,0,99.8,72768,98.6,13.7,73.7,96.6,57.8,99.8,30314,1528,67,81382,92.07,21.0,94,766,126,164,3,1,1060,197446,0
449,Gujarat,12,Banas Kantha,5,2019,1,0,0,1,0,1,99.8,71984,98.8,13.3,72.4,100.7,60.2,98.5,60968,1102,27,79696,37.51,15.31,158,766,129,164,3,1,1063,207319,0
450,Gujarat,12,Bharuch,6,2017,0,1,0,0,0,0,99.8,24181,98.8,20.8,105.7,132.8,38.7,114.3,0,485,22,33354,90.98,20.06,69,241,46,65,65,1,353,173079,0
451,Gujarat,12,Bharuch,6,2018,1,0,1,0,1,0,100.0,24213,99.0,19.8,104.7,130.1,107.0,120.3,12070,278,10,39396,41.3,11.48,94,241,46,65,65,1,353,197446,0
452,Gujarat,12,Bharuch,6,2019,1,0,0,1,0,1,99.8,22844,98.9,20.6,123.2,146.9,99.2,109.6,21961,292,33,29618,144.46,12.78,158,241,46,65,65,1,353,207319,0
453,Gujarat,12,Bhavnagar,7,2017,0,1,0,0,0,0,99.2,45549,99.0,9.6,79.5,104.6,69.9,92.5,400,441,26,58906,57.08,9.68,69,334,66,112,2,1,515,173079,0
454,Gujarat,12,Bhavnagar,7,2018,1,0,1,0,1,0,99.3,49783,99.2,9.0,79.9,110.3,84.4,99.8,23101,546,27,55716,54.24,10.97,94,327,66,83,2,1,479,197446,0
455,Gujarat,12,Bhavnagar,7,2019,1,0,0,1,0,1,99.6,41054,99.0,8.5,93.6,122.6,85.6,109.7,37888,423,19,48277,46.28,10.3,158,327,66,83,3,1,480,207319,0
456,Gujarat,12,Botad,8,2017,0,1,0,0,0,0,99.6,16744,99.7,6.8,100.7,102.0,100.7,88.9,0,120,6,17132,35.83,7.17,69,98,20,24,24,1,143,173079,0
457,Gujarat,12,Botad,8,2018,1,0,1,0,1,0,99.7,13384,99.8,10.8,100.0,99.1,99.7,119.0,4930,75,9,15523,67.24,5.6,94,98,19,24,24,1,142,197446,0
458,Gujarat,12,Botad,8,2019,1,0,0,1,0,1,99.2,11693,99.8,13.8,102.4,106.2,99.3,117.8,13107,93,20,15176,171.04,7.95,158,98,19,24,24,1,142,207319,0
459,Gujarat,12,Chhotaudepur,9,2017,0,1,0,0,0,0,86.7,17240,98.5,23.8,88.5,133.1,57.7,101.8,296,405,30,26136,174.01,23.49,69,304,46,25,1,1,377,173079,0
460,Gujarat,12,Chhotaudepur,9,2018,1,0,1,0,1,0,93.1,16861,97.9,15.1,87.8,112.7,72.5,137.7,10034,280,13,26003,77.1,16.61,94,310,50,25,25,1,386,197446,0
461,Gujarat,12,Chhotaudepur,9,2019,1,0,0,1,0,1,94.1,16929,98.4,20.5,97.7,130.9,76.4,128.9,17654,198,20,25453,118.14,11.7,158,310,51,25,25,1,387,207319,0
462,Gujarat,12,Dahod,10,2017,0,1,0,0,0,0,99.6,60302,99.1,13.0,104.2,105.8,94.3,94.1,16,1569,61,68978,101.16,26.02,69,641,99,47,1,1,789,173079,0
463,Gujarat,12,Dahod,10,2018,1,0,1,0,1,0,99.7,61841,99.0,8.8,90.1,97.7,78.2,103.4,29132,1130,35,73358,56.6,18.27,94,641,99,47,1,1,789,197446,0
464,Gujarat,12,Dahod,10,2019,1,0,0,1,0,1,99.9,62480,98.9,10.0,95.9,96.0,89.3,98.5,55031,823,32,69786,51.22,13.17,158,641,99,47,1,1,789,207319,0
465,Gujarat,12,Devbhumi Dwarka,11,2017,0,1,0,0,0,0,98.7,13950,98.9,8.3,100.4,104.0,84.1,97.4,3,268,12,15262,86.02,19.21,69,169,27,20,1,1,218,173079,0
466,Gujarat,12,Devbhumi Dwarka,11,2018,1,0,1,0,1,0,99.5,13471,98.8,8.6,105.1,113.7,83.8,97.4,4269,271,4,15015,29.69,20.12,94,169,25,19,1,1,215,197446,0
467,Gujarat,12,Devbhumi Dwarka,11,2019,1,0,0,1,0,1,99.2,12421,98.7,10.8,106.7,118.9,82.7,99.3,9593,256,9,14403,72.46,20.61,158,169,25,19,1,1,215,207319,0
468,Gujarat,12,Gandhinagar,12,2017,0,1,0,0,0,0,100.0,26332,99.5,15.1,79.2,121.6,57.2,125.4,0,306,15,33536,56.96,11.62,69,168,40,102,1,1,312,173079,0
469,Gujarat,12,Gandhinagar,12,2018,1,0,1,0,1,0,100.0,25680,99.2,18.7,99.8,148.3,77.8,125.5,15346,448,9,34081,35.05,17.45,94,172,38,90,1,1,302,197446,0
470,Gujarat,12,Gandhinagar,12,2019,1,0,0,1,0,1,100.0,25213,99.2,17.7,122.1,154.1,96.3,114.3,26760,371,19,33147,75.36,14.71,158,172,38,89,1,1,301,207319,0
471,Gujarat,12,Gir Somnath,13,2017,0,1,0,0,0,0,93.9,18619,97.7,19.4,124.5,123.8,120.4,125.5,384,1795,29,26399,155.75,96.41,69,184,35,38,2,2,259,173079,0
472,Gujarat,12,Gir Somnath,13,2018,1,0,1,0,1,0,97.1,19749,98.7,9.3,116.7,114.6,117.4,129.6,8938,324,13,24225,65.83,16.41,94,182,34,37,1,1,255,197446,0
473,Gujarat,12,Gir Somnath,13,2019,1,0,0,1,0,1,98.2,19271,99.0,10.1,107.7,107.6,103.9,116.7,20017,331,13,22793,67.46,17.18,158,180,34,37,1,1,253,207319,0
474,Gujarat,12,Jamnagar,14,2017,0,1,0,0,0,0,98.7,29193,98.6,15.8,112.1,111.7,89.5,101.6,38,1277,52,30761,178.12,43.74,69,210,49,33,33,1,293,173079,0
475,Gujarat,12,Jamnagar,14,2018,1,0,1,0,1,0,98.0,21323,98.1,11.9,110.9,125.1,95.6,140.1,12357,772,44,30153,206.35,36.21,94,210,48,44,44,1,303,197446,0
476,Gujarat,12,Jamnagar,14,2019,1,0,0,1,0,1,98.3,18375,98.2,18.5,133.2,156.3,125.6,166.2,27054,988,22,31131,119.73,53.77,158,210,48,44,44,1,303,207319,0
477,Gujarat,12,Junagadh,15,2017,0,1,0,0,0,0,99.6,21493,98.8,12.0,67.6,82.6,57.2,91.4,60,314,11,25604,51.18,14.61,69,247,46,60,60,1,354,173079,0
478,Gujarat,12,Junagadh,15,2018,1,0,1,0,1,0,99.9,21981,98.9,12.2,97.8,94.7,91.9,97.0,11377,264,6,21822,27.3,12.01,94,247,48,57,57,1,353,197446,0
479,Gujarat,12,Junagadh,15,2019,1,0,0,1,0,1,99.8,20996,98.6,13.7,102.4,131.7,92.7,90.7,16327,229,4,20825,19.05,10.91,158,247,49,57,57,1,354,207319,0
480,Gujarat,12,Kachchh,16,2017,0,1,0,0,0,0,99.6,54573,99.1,5.8,82.9,105.8,52.2,87.3,4,564,33,56897,60.47,10.33,69,442,77,64,2,1,586,173079,0
481,Gujarat,12,Kachchh,16,2018,1,0,1,0,1,0,99.7,43864,98.8,10.8,86.5,127.4,62.5,117.8,19821,512,86,65262,196.06,11.67,94,442,77,64,2,1,586,197446,0
482,Gujarat,12,Kachchh,16,2019,1,0,0,1,0,1,99.6,37033,98.5,9.0,96.9,120.4,68.5,104.3,31013,511,24,52534,64.81,13.8,158,442,77,64,2,1,586,207319,0
483,Gujarat,12,Kheda,17,2017,0,1,0,0,0,0,99.9,48020,99.3,9.1,73.2,98.7,42.9,94.6,268,431,39,54245,81.22,8.98,69,317,57,47,1,1,423,173079,0
484,Gujarat,12,Kheda,17,2018,1,0,1,0,1,0,100.0,47906,99.3,9.1,85.6,93.6,85.1,96.0,17390,456,6,52304,12.52,9.52,94,317,58,45,1,1,422,197446,0
485,Gujarat,12,Kheda,17,2019,1,0,0,1,0,1,100.0,38195,99.1,11.9,94.3,105.4,84.8,98.9,30279,935,23,45110,60.22,24.48,158,317,58,45,1,1,422,207319,0
486,Gujarat,12,Mahesana,18,2017,0,1,0,0,0,0,100.0,44053,98.5,16.4,85.2,99.4,46.0,79.7,0,730,26,45545,59.02,16.57,69,294,63,116,3,2,478,173079,0
487,Gujarat,12,Mahesana,18,2018,1,0,1,0,1,0,100.0,33720,98.7,17.2,83.2,103.1,63.7,101.9,16656,726,25,41427,74.14,21.53,94,294,63,107,4,2,470,197446,0
488,Gujarat,12,Mahesana,18,2019,1,0,0,1,0,1,100.0,31072,98.7,19.7,109.8,119.7,73.2,102.8,25236,640,23,37746,74.02,20.6,158,294,63,105,4,2,468,207319,0
489,Gujarat,12,Mahisagar,19,2017,0,1,0,0,0,0,99.2,22720,99.1,8.5,52.7,96.0,24.3,85.8,105,508,7,26565,30.81,22.36,69,231,37,29,1,1,299,173079,0
490,Gujarat,12,Mahisagar,19,2018,1,0,1,0,1,0,99.8,25643,99.5,12.7,39.4,84.6,26.2,83.8,8971,327,2,25888,7.8,12.75,94,231,36,29,1,1,298,197446,0
491,Gujarat,12,Mahisagar,19,2019,1,0,0,1,0,1,99.7,25531,98.9,9.6,61.2,77.7,47.5,81.4,15670,288,2,25091,7.83,11.28,158,231,36,29,1,1,298,207319,0
492,Gujarat,12,Morbi,20,2017,0,1,0,0,0,0,99.6,26967,99.2,6.4,92.2,91.9,84.6,82.2,14,277,16,22947,59.33,10.27,69,198,34,23,1,1,257,173079,0
493,Gujarat,12,Morbi,20,2018,1,0,1,0,1,0,99.7,24873,99.4,7.5,91.9,85.5,80.4,85.7,7359,257,17,22875,68.35,10.33,94,198,34,23,1,1,257,197446,0
494,Gujarat,12,Morbi,20,2019,1,0,0,1,0,1,99.3,20074,99.1,11.0,91.6,100.1,89.5,104.7,17485,254,8,21884,39.85,12.65,158,198,34,23,1,1,257,207319,0
495,Gujarat,12,Narmada,21,2017,0,1,0,0,0,0,92.0,9086,97.4,29.1,91.0,94.7,81.5,101.6,0,268,7,10948,77.04,29.5,69,193,28,12,12,1,234,173079,0
496,Gujarat,12,Narmada,21,2018,1,0,1,0,1,0,95.5,8021,98.1,29.0,96.0,95.7,91.6,103.0,4602,264,6,10295,74.8,32.91,94,193,28,11,1,1,234,197446,0
497,Gujarat,12,Narmada,21,2019,1,0,0,1,0,1,96.9,9302,97.9,32.7,95.4,93.8,91.6,89.3,7742,195,13,9955,139.75,20.96,158,193,28,11,1,1,234,207319,0
498,Gujarat,12,Navsari,22,2017,0,1,0,0,0,0,100.0,16889,99.2,20.9,114.1,109.3,43.6,110.1,0,237,10,20804,59.21,14.03,69,297,60,35,4,1,397,173079,0
499,Gujarat,12,Navsari,22,2018,1,0,1,0,1,0,100.0,15316,99.4,21.4,118.9,113.2,85.0,113.9,10367,166,6,18798,39.17,10.84,94,296,66,35,4,1,402,197446,0
500,Gujarat,12,Navsari,22,2019,1,0,0,1,0,1,100.0,15883,99.3,21.7,104.5,118.3,82.7,101.1,14973,120,13,18202,81.85,7.56,158,296,66,36,4,1,403,207319,0
501,Gujarat,12,Panch Mahals,23,2017,0,1,0,0,0,0,99.3,38060,98.7,10.1,68.8,91.1,36.6,76.3,107,1091,32,43148,84.08,28.67,69,300,56,41,41,1,398,173079,0
502,Gujarat,12,Panch Mahals,23,2018,1,0,1,0,1,0,99.5,35805,98.8,10.0,76.1,96.8,45.3,91.1,16495,806,40,44886,111.72,22.51,94,300,54,41,41,1,396,197446,0
503,Gujarat,12,Panch Mahals,23,2019,1,0,0,1,0,1,99.7,33120,98.8,10.9,94.0,105.9,85.9,99.8,27500,854,46,43572,138.89,25.79,158,300,54,41,41,1,396,207319,0
504,Gujarat,12,Patan,24,2017,0,1,0,0,0,0,100.0,38404,99.0,10.5,72.5,72.4,64.5,71.6,0,505,32,30283,83.32,13.15,69,327,55,52,1,1,436,173079,0
505,Gujarat,12,Patan,24,2018,1,0,1,0,1,0,100.0,30405,99.2,8.8,99.3,91.6,99.5,96.3,4101,385,24,29952,78.93,12.66,94,326,55,52,1,1,435,197446,0
506,Gujarat,12,Patan,24,2019,1,0,0,1,0,1,100.0,23068,98.3,12.1,129.5,107.6,120.7,108.0,20040,443,15,26533,65.03,19.2,158,326,55,52,1,1,435,207319,0
507,Gujarat,12,Porbandar,25,2017,0,1,0,0,0,0,99.5,8629,99.7,11.1,81.8,90.7,55.7,107.2,0,143,10,10770,115.89,16.57,69,84,17,17,17,1,119,173079,0
508,Gujarat,12,Porbandar,25,2018,1,0,1,0,1,0,99.8,8073,99.3,5.9,99.3,94.5,94.8,114.8,4165,138,9,10047,111.48,17.09,94,84,14,18,18,1,117,197446,0
509,Gujarat,12,Porbandar,25,2019,1,0,0,1,0,1,99.7,8029,99.6,9.8,92.2,102.6,95.4,115.5,8928,129,2,10762,24.91,16.07,158,84,14,18,18,1,117,207319,0
510,Gujarat,12,Rajkot,26,2017,0,1,0,0,0,0,99.7,59870,99.0,13.5,106.8,110.4,77.5,99.3,6,1170,39,67973,65.14,19.54,69,347,82,42,4,2,477,173079,0
511,Gujarat,12,Rajkot,26,2018,1,0,1,0,1,0,99.7,62797,99.1,12.6,101.7,103.7,77.5,83.4,24512,1652,63,68748,100.32,26.31,94,350,82,41,4,2,479,197446,0
512,Gujarat,12,Rajkot,26,2019,1,0,0,1,0,1,99.5,58848,98.9,15.9,110.1,111.0,92.6,90.2,43679,1682,46,62000,78.17,28.58,158,350,82,41,4,2,479,207319,0
513,Gujarat,12,Sabar Kantha,27,2017,0,1,0,0,0,0,97.7,26882,98.7,17.7,116.5,125.1,63.0,104.6,0,976,19,33155,70.68,36.31,69,278,53,117,1,1,450,173079,0
514,Gujarat,12,Sabar Kantha,27,2018,1,0,1,0,1,0,97.7,29982,98.3,17.5,104.6,108.3,61.2,96.6,11596,592,19,33805,63.37,19.75,94,281,50,117,1,1,450,197446,0
515,Gujarat,12,Sabar Kantha,27,2019,1,0,0,1,0,1,98.9,30487,98.5,18.2,116.8,115.3,72.9,92.7,24811,443,18,33458,59.04,14.53,158,281,49,117,1,1,449,207319,0
516,Gujarat,12,Surat,28,2017,0,1,0,0,0,0,99.8,166962,99.5,10.5,72.6,79.2,47.6,64.6,4,850,61,159672,36.54,5.09,69,358,106,404,3,2,873,173079,0
517,Gujarat,12,Surat,28,2018,1,0,1,0,1,0,99.8,102622,99.3,11.5,95.1,100.8,85.6,98.0,42317,1519,60,110039,58.47,14.8,94,358,117,433,3,2,913,197446,0
518,Gujarat,12,Surat,28,2019,1,0,0,1,0,1,99.7,92175,99.2,12.9,108.2,126.2,101.5,109.1,88467,1505,87,114308,94.39,16.33,158,358,118,433,3,2,914,207319,0
519,Gujarat,12,Surendranagar,29,2017,0,1,0,0,0,0,99.2,24501,99.2,8.0,127.4,129.0,62.7,120.6,72,481,26,33617,106.12,19.63,69,351,68,41,2,2,464,173079,0
520,Gujarat,12,Surendranagar,29,2018,1,0,1,0,1,0,99.5,22751,98.8,7.6,131.1,137.9,68.9,129.2,13173,372,17,32595,74.72,16.35,94,350,76,41,2,2,471,197446,0
521,Gujarat,12,Surendranagar,29,2019,1,0,0,1,0,1,99.4,23149,99.0,8.2,136.8,141.8,80.2,138.3,25944,294,11,32233,47.52,12.7,158,350,76,41,2,2,471,207319,0
522,Gujarat,12,Tapi,30,2017,0,1,0,0,0,0,98.5,8676,98.7,26.5,98.0,113.8,73.2,118.9,0,285,18,11465,207.47,32.85,69,243,39,24,24,1,307,173079,0
523,Gujarat,12,Tapi,30,2018,1,0,1,0,1,0,98.6,8061,98.8,24.6,96.1,100.9,83.2,132.5,5120,226,4,11171,49.62,28.04,94,244,39,19,19,1,303,197446,0
524,Gujarat,12,Tapi,30,2019,1,0,0,1,0,1,99.6,8564,98.8,27.9,90.6,96.3,86.2,112.7,8842,197,2,10444,23.35,23.0,158,244,39,19,19,1,303,207319,0
525,Gujarat,12,The Dangs,31,2017,0,1,0,0,0,0,75.3,5378,98.4,19.7,99.1,119.7,85.7,94.8,64,194,9,6783,167.35,36.07,69,68,10,4,4,1,83,173079,0
526,Gujarat,12,The Dangs,31,2018,1,0,1,0,1,0,85.5,4444,98.7,23.4,127.7,145.6,119.7,123.4,3158,136,11,6443,247.52,30.6,94,68,10,4,4,1,83,197446,0
527,Gujarat,12,The Dangs,31,2019,1,0,0,1,0,1,91.2,4951,98.5,26.1,112.2,130.5,104.6,106.0,5108,153,5,6322,100.99,30.9,158,68,10,4,4,1,83,207319,0
528,Gujarat,12,Vadodara,32,2017,0,1,0,0,0,0,99.7,51628,98.4,16.4,105.6,127.7,53.9,105.1,792,2460,96,68812,185.95,47.65,69,256,80,172,172,4,512,173079,0
529,Gujarat,12,Vadodara,32,2018,1,0,1,0,1,0,99.8,46848,97.5,19.6,118.7,128.3,85.0,136.5,35702,1787,103,66177,219.86,38.14,94,242,77,179,179,4,502,197446,0
530,Gujarat,12,Vadodara,32,2019,1,0,0,1,0,1,99.8,44669,97.7,25.0,118.0,134.9,89.0,122.8,45697,1408,141,63356,315.66,31.52,158,242,77,171,171,4,494,207319,0
531,Gujarat,12,Valsad,33,2017,0,1,0,0,0,0,99.2,33108,98.7,17.1,85.3,90.2,68.5,73.6,64,314,19,37864,57.39,9.48,69,363,66,49,2,1,481,173079,0
532,Gujarat,12,Valsad,33,2018,1,0,1,0,1,0,99.4,29204,99.2,18.7,94.3,106.2,81.8,95.3,12198,257,11,29220,37.67,8.8,94,363,66,73,3,1,506,197446,0
533,Gujarat,12,Valsad,33,2019,1,0,0,1,0,1,99.7,29281,98.6,23.0,99.4,107.2,85.7,97.0,24533,318,32,31148,109.29,10.86,158,363,66,73,3,1,506,207319,0
534,Haryana,13,Ambala,1,2017,0,1,0,0,0,0,99.8,18022,98.5,5.0,106.3,110.1,73.2,110.2,0,308,13,17886,72.13,17.09,32,112,20,7,2,2,143,211525,0
535,Haryana,13,Ambala,1,2018,1,0,1,0,1,0,99.9,18152,98.3,13.6,97.1,101.6,74.5,103.4,16442,272,15,18039,82.64,14.98,47,108,22,7,2,2,141,236146,0
536,Haryana,13,Ambala,1,2019,1,0,0,1,0,1,100.0,19241,98.5,13.5,95.4,102.5,79.1,101.4,18345,287,13,18803,67.56,14.92,132,108,22,7,2,2,141,264206,0
537,Haryana,13,Bhiwani,2,2017,0,1,0,0,0,0,98.8,22513,96.9,16.9,50.4,85.8,40.8,83.5,1009,254,25,19191,111.05,11.28,32,147,34,7,3,1,192,211525,0
538,Haryana,13,Bhiwani,2,2018,1,0,1,0,1,0,99.2,20997,96.7,23.8,62.9,109.6,57.2,101.4,11856,423,25,20996,119.06,20.15,47,141,28,7,3,1,180,236146,0
539,Haryana,13,Bhiwani,2,2019,1,0,0,1,0,1,99.4,18839,99.3,11.5,69.2,106.5,64.7,96.6,17020,317,24,18673,127.4,16.83,132,141,28,7,3,1,180,264206,0
540,Haryana,13,Charkhi Dadri,3,2017,0,1,0,0,0,0,97.5,2330,99.0,10.7,111.4,216.3,81.0,241.5,183,65,14,8629,600.86,27.9,32,76,16,3,1,1,96,211525,0
541,Haryana,13,Charkhi Dadri,3,2018,1,0,1,0,1,0,99.4,5045,99.3,15.8,57.6,124.8,42.7,122.2,4225,87,5,11510,99.11,17.24,47,75,13,4,4,1,93,236146,0
