,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
112,Assam,4,Barpeta,2,2018,1,0,1,0,1,0,81.2,36133,97.7,15.0,42.7,108.9,45.4,97.1,26041,728,43,41177,119.0,20.15,111,271,52,15,1,2,341,82078,1
113,Assam,4,Barpeta,2,2019,1,0,0,1,0,1,85.5,35230,97.5,16.2,55.8,116.6,47.1,97.3,29727,808,55,39737,156.12,22.93,183,271,52,15,1,2,341,86182,1
114,Assam,4,Bongaigaon,3,2017,0,1,0,0,0,0,88.8,14992,98.2,13.7,37.3,104.3,30.4,94.5,630,414,16,15297,106.72,27.61,58,109,33,4,5,1,152,74183,1
115,Assam,4,Bongaigaon,3,2018,1,0,1,0,1,0,93.2,14121,98.2,12.9,44.7,100.1,47.0,100.4,11975,294,18,15336,127.47,20.82,111,109,33,4,5,1,152,82078,1
116,Assam,4,Bongaigaon,3,2019,1,0,0,1,0,1,94.9,13010,98.1,11.9,58.4,98.5,49.9,96.7,11196,242,15,13752,115.3,18.6,183,109,33,4,5,1,152,86182,1
117,Assam,4,Cachar,4,2017,0,1,0,0,0,0,95.6,41658,97.3,18.5,66.2,107.1,56.6,87.2,40,890,166,39489,398.48,21.36,58,274,49,11,11,2,336,74183,1
118,Assam,4,Cachar,4,2018,1,0,1,0,1,0,96.9,41684,97.1,17.9,55.1,113.5,48.6,96.1,23543,967,154,40012,369.45,23.2,111,274,51,15,15,2,342,82078,1
119,Assam,4,Cachar,4,2019,1,0,0,1,0,1,97.3,40878,96.9,17.2,75.6,115.3,74.8,92.7,30186,653,129,37786,315.57,15.97,183,274,51,15,15,2,342,86182,1
120,Assam,4,Chirang,5,2017,0,1,0,0,0,0,78.8,7278,98.4,19.9,56.7,125.3,32.2,119.5,0,171,11,9906,151.14,23.5,58,90,26,5,5,1,122,74183,1
121,Assam,4,Chirang,5,2018,1,0,1,0,1,0,80.5,7187,98.5,16.1,29.6,116.6,25.2,116.9,6441,128,9,9835,125.23,17.81,111,90,26,6,6,1,123,82078,1
